"processed","published_datetime","reporter_name","story_title","story_subhead","story_url","reserved"
"False","2012-04-04T09:00:03.000","Ron","PT Leader Discovers CrossFit, Sailors Less Than Thrilled","NORFOLK, VA – On a damp football field at dawn, sailors from Personnel Support Detachment – Norfolk perform a high-intensity workout program known as…","https://www.duffelblog.com/pt-leader-discovers-crossfit-sailors-less-than-thrilled"
"False","2012-04-06T09:00:00.000","Anthony Ryba","Stolen Valor Claim After Man Poses As Elite Administrative Soldier","RICHFIELD, OH – On a normal Friday night at the Clearview Bar & Grill, U.S. Army Reservist Specialist Wendell Dukes had ordered his usual Rolling Rock…","https://www.duffelblog.com/stolen-valor-claim-after-man-poses-as-elite-administrative-soldier"
"False","2012-04-07T10:00:00.000","Paul Sharpe","Talks Break Down With Taliban After Brit Ambassador Says Their Tea Sucks","KABUL, AFGHANISTAN - Taliban leadership announced today that they were pulling out of joint peace talks with the United States and Britain. Speaking by…","https://www.duffelblog.com/talks-break-down-with-taliban-after-brit-ambassador-says-their-tea-sucks"
"False","2012-04-09T09:00:00.000","Sgt B","Pentagon Study Finds Beards Directly Related To Combat Effectiveness","TAMPA, Fla. — Forget new gear, weapons, or sophisticated targeting systems. The newest tool coming to combat troops is low-tech: beards. In a report…","https://www.duffelblog.com/pentagon-study-finds-beards-directly-proportional-to-combat-effectiveness"
"False","2012-04-11T09:00:00.000","Sgt B","IPFU Changes Says New Army G-4, Tells Duffel Blog To 'Shove It'","ARLINGTON, VA - Recently the Army has undergone a change of leadership in the G-4 shop, with Lieutenant General Raymond G. Mason being promoted to the…","https://www.duffelblog.com/ipfu-changes-says-new-army-g-4-tells-duffel-blog-to-shove-it"
"False","2012-04-12T09:00:00.000","Ron","DLI Couple Will Last Forever, Reports Boyfriend","MONTEREY, CA — Do you speak the language of love? Well two students at the Defense Language Institute certainly do. Private First Class Mike Keenan, 19…","https://www.duffelblog.com/ait-couple-will-last-forever-reports-boyfriend"
"False","2012-04-13T09:12:24.000","Paul Sharpe","Marine Private Named 'Super-Boot Of The Year'","CAMP PENDLETON, CA — In his senior year of high school, Anthony Smith decided he wanted to be a Marine. He had a high-and-tight before ever stepping on…","https://www.duffelblog.com/marine-private-named-as-super-boot-of-the-year"
"False","2012-04-14T09:30:00.000","Sgt B","Soldier Dropped From WLC After Terrorizing Fellow Students With 'Knife Hands'","CAMP SHELBY, MS - The Army's Warrior Leader Course is a big step in a soldiers' progression to Staff Sergeant. Sergeants take part in field leadership…","https://www.duffelblog.com/soldier-dropped-from-wlc-after-terrorizing-fellow-students-with-knife-hands"
"False","2012-04-15T13:00:00.000","G-Had","CBRN Marine Fills Vital Role Digging Holes, Burning Feces","COP SULLIVAN, AFGHANISTAN – When Corporal Victor Foster says he has a dirty job, he's not exaggerating. As an MOS 5711 Chemical, Biological…","https://www.duffelblog.com/cbrn-marine-fills-vital-role-burning-shit"
"False","2012-04-16T09:00:38.000","Paul Sharpe","MRE Maker Introduces Throwback Meals, Troop Favorite 'Hot Dogs' and 'Bean Burrito' To Return","CINCINNATI, OH — For over 30 years, Wornick Foods has been producing the Meals-Ready-To-Eat (MRE) that are familiar to troops worldwide. As the years…","https://www.duffelblog.com/mre-maker-re-introduces-throwback-meals-troops-outraged"
"False","2012-04-17T09:00:00.000","G-Had","General Amos Asks Syrian Rebels To Move Conflict To Pacific","WASHINGTON, D.C. – The Marine Corps' top general held a press conference this morning to address the increasing violence in Syria and to request that…","https://www.duffelblog.com/general-amos-asks-syrian-rebels-to-move-conflict-to-the-pacific"
